offset,name
0x1E40,Bunshin Fein
0x1EA0,Shippuu Dasshu
0x1F00,Tatsumakisenpuu
0x1F40,Iryuujon Bo
0x1FA0,Dasshu Akuseru
0x2000,Jigokuguruma
0x2060,Hiito Takkuru
0x20C0,Jiguzagu Supaaku
0x2100,Tamanoripiero
0x2140,Noroi
0x21A0,Suupaa Arumaji
0x2200,Dokugirinojutsu
0x2240,Suupaa Sukyan
0x22A0,Gorimuchuu
0x2300,Buusuto Guraida
0x2360,Zanzou
0x23C0,Mogura Feinto
0x2420,Kamaitachi
0x2460,Monkii Taan
0x24C0,Za Uooru
0x2520,Deemon Katto
0x2580,Kiraa Suraido
0x25E0,Koiru Taan
0x2620,Aasu Kueiku
0x2680,Kuikku Dorou
0x26E0,Kumonoito
0x2740,Saikuron
0x2780,Feiku Booru
0x27E0,Kagenui
0x2840,Shikofumi
0x28A0,Hoon Torein
0x2900,Harikeen Aroo
0x2940,Supiningu Katto
0x29A0,Suupaa Sukyan
0x2A00,Onryou
0x2A60,Dopperu Gengaa
0x2AC0,Kagomekagome
0x2B20,Haavesuto
0x2B80,Sabakinotettsui
0x2BE0,Inazumaotoshi
0x2C40,Doragon Kurasshi
0x2CA0,Tsuin Buusuto
0x2CE0,Faia Torunee
0x2D40,Hyakuretsushotsu
0x2DA0,Inazuma 1gou
0x2E00,Gureneedo Shotsu
0x2E40,Desu Zoon
0x2E80,Fantomu Shuu
0x2EE0,Hooku Shotto
0x2F40,Meteo Atakku
0x2F80,Suneeku Shotto
0x2FE0,Supiningu Shuu
0x3040,Suiseishuuto
0x30A0,Rooringu Kikku
0x3100,Bunshinshuuto
0x3160,Dainamaito Shu
0x31C0,Patoriotto Shu
0x3220,Supairaru Shotsu
0x3260,Furiizu Shotto
0x32A0,Taigaa Doraibu
0x3300,Toruneedo Kyatsu
0x3360,Goddo Hando
0x33C0,Pawaa Shiirudo
0x3420,Nekketsupanchi
0x3480,Shuuto Poketto
0x34E0,Yugamukuukan
0x3540,Kauntaa Sutora
0x35A0,Gooruzurashi
0x3600,Toripuru Dife
0x3660,Puresshaa Pan
0x36C0,Tafunesu Burokku
0x3720,Furupawaa Shiiru
0x3780,Makiwarichoppu
0x37E0,Tsumuji
0x3840,Rokettokobushi
0x38A0,Wairudo Kuroo
0x3900,Giganto Uooru
0x3960,Kogarashi
0x39C0,Kiraa Bureedo
0x3A20,Tsunamiuooru
0x3A80,Bakuretsupanchi
0x3AE0,Majin Za Han
0x3B40,Mugennokabe
0x3BA0,Sunoo Enjieru
0x3BE0,Baabariannota
0x3C40,Majin Za Han
0x3CA0,Goddo Hando
0x3D00,Gurando Kueiku
0x3D60,Dezaato Sutoomu
0x3DA0,Kurosu Doraibu
0x3E00,Kamikakushi
0x3E60,Saiko Shotto
0x3EA0,Kondoru Daibu
0x3F00,Ran Booru Ra
0x3F40,Toraianguru Z
0x3F80,Dokonjoubatsu
0x3FE0,Rifurekuto Basuta
0x4040,Kunfuu Heddo
0x4080,Shain Doraibu
0x40C0,Dibain Aroo
0x4100,Bakku Toruneedo
0x4160,Taazan Kikku
0x41C0,Goddo Nouzu
0x4200,Doragon Torunee
0x4260,Tsuchidaruma
0x42C0,Honoonokazamido
0x4320,Inazuma Bureiku
0x4360,Za Gyarakushii
0x43A0,Kouteipengin 2go
0x4400,Hebunzu Taimu
0x4440,Jajji Suruu
0x44A0,Dasshu Sutoomu
0x44E0,Muunsaruto
0x4520,Majikku
0x4580,Za Fenikkusu
0x45C0,Korodorashuuto
0x4620,Daaku Toruneedo
0x4680,Inazumaotoshi
0x46E0,Inazuma Bureiku
0x4720,Suniikingu Rei
0x4780,Gureibu Sutoon
0x47E0,Jibashirikaen
